RUN;Nombre;"Apellido P";telefono;"email personal";"email  institucional";DEDICACIÓN;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;"GRADO ACADÉMICO";"JERARQUÍA ";CARGO;ESTAMENTO
7481441;Arthur;Weasley;789012346;arthur.weasley.diaz@yeeha.com;arthur.weasley.diaz@lamejor.com;;"FULL TIME";diurno;;;;LICENCIATURA;"INSTRUCTOR DOCENTE";"Coord. de Clínica ";Académico
15647218;Cuthbert;Binns;;cuthbert.binns@yeeha.com;cuthbert.binns@lamejor.com;;;;;;;;;;
21904102;Petunia;Dursley;890123464;petunia.dursley.jeraldo@gmall.com;petunia.dursley.jeraldo@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
22336345;Blaise;Zabini;;blaise.zabini.pardo@gmall.com;blaise.zabini.pardo@lamejor.com;;;;;;;;;;
19164741;"David ";Heyman;;;;;;;;;;;;;
14550636;Ginny;Weasley;;ginny.weasley.rojas@gmall.com;ginny.weasley.rojas@lamejor.com;;;;;;;;;;
11055885;James;Potter;;james.potter.cortes@coldmail.com;james.potter.cortes@lamejor.com;;;;;;;;;;
20666086;Marietta;Edgecombe;;marietta.edgecombe@dietz.com;marietta.edgecombe@lamejor;;;;;;;MAGISTER;;;
7505853;Charity;Burbage;;charity.burbage@coldmail.com;charity.burbage@lamejor.com;;;;;;;;;;
7434992;Padma;Patil;456789020;padma.patil.sandoval@coldmail.com;padma.patil.sandoval@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";;
23116372;Cornelius;Fudge;;cornelius.fudge.avila@yeeha.com;cornelius.fudge.avila@lamejor.com;;;;;;;;;;
20354821;Quirinus;Quirrell;567890132;quirinus.quirrell@yeeha.com;quirinus.quirrell@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;;"TITULAR DOCENTE";"Profesor por Jornada";
12193904;Silvanusn.;Kettleburn;901234577;silvanus.kettleburn@gmall.com;silvanus.kettleburn@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";;
14183901;Terry;Boot;567890134;terry.boot.diaz@coldmail.com;terry.boot.diaz@lamejor.com;;"FULL TIME";;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Director Inst. Investigación y Postgra";
13475408;Poppy;Pomfrey;234567899;poppy.pomfrey@gmall.com;poppy.pomfrey@lamejor.com;;"FULL TIME";;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR DOCENTE";"Profesor por Jornada";
15992956;Dolores;Umbridge;;dolores.umbridge@coldmail.com;dolores.umbridge@lamejor.com;;;;;;;LICENCIATURA;;;
8761982;"Helga ";Hufflepuff;;helga.hufflepuff.bozo@coldmail.com;helga.hufflepuff.bozo@lamejor.com;;;;;;;DOCTOR;;;
20638852;Sirius;Black;234567901;sirius.black.esquivel@coldmail.com;sirius.black.esquivel@lamejor.com;;"FULL TIME";diurno;;HOGWARTS;MAGIA;MAGISTER;"ASOCIADA REGULAR";"Director (a) Centro de Sol. Colab.de C";
12758128;Argus;Filch;678901235;argus.filch@gmall.com;argus.filch@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;;"DOCTOR ";"ASISTENTE DOCENTE";;
122637826;;;;;;40;"FULL TIME";;;;;;;"Secretaria - Escuela";Administrativo
24009027;Neville;Longbottom;234567898;neville.longbottom.valenzuela@gmall.com;neville.longbottom.valenzuela@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";;
16901248;Hermione;Granger;890123461;hermione.granger.benavides@coldmail.com;hermione.granger.benavides@lamejor.com;;HONORARIO;diurno;;BEAUXBATON;" HECHICERÍA";DOCTOR;"ASOCIADA DOCENTE";;
21713351;Cormac;McLaggen;890123458;cormac.mclaggen@valenzuela.com;cormac.mclaggen@lamejor;;HONORARIO;diurno;;;;MAGISTER;"ASISTENTE DOCENTE";;
15155275;Pansy;Parkinson;567890131;pansy.parkinson.larroucau@coldmail.com;pansy.parkinson.larroucau@lamejor.com;;"FULL TIME";;vespertino;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";;
12866079;Colin;Creevey;;colin.creevey.bermudez@gmall.com;colin.creevey.bermudez@lamejor.com;;;;;;;;;;
123712616;;;;;;40;"FULL TIME";;;;;;;"Secretaria (o)";Administrativo
12273600;Alastor;"PITURRA ";;alastor.piturra@yeeha.com;alastor.moody@lamejor.com;;;;;;;;;;
22890939;"Alfonso ";Cuarón;;;;;;;;;;;;;
12w238470;;;;;;40;"FULL TIME";;;;;;;"Secretaria (o)";Administrativo
9909814;Hannah;Abbott;567890128;hannah.abbott@viana.com;hannah.abbott@@lamejor;;HONORARIO;;;BEAUXBATON;HECHICERÍA;MAGISTER;"INSTRUCTOR DOCENTE";;
12712137;Katie;Bell;;katie.bell.aguirre@coldmail.com;katie.bell.aguirre@lamejor.com;;;;;;;;;;
14079731;Pomona;Sprout;;pomona.sprout@coldmail.com;pomona.sprout@lamejor.com;;;;;;;;;;
10778699;LAMAS;BELLA;;lamas.bella.delmundo@yeeha.com;lamas.bella.delmundo@lamejor.com;120;"DOUBLE  TIME";diurno;vespertino;TODAS;HECHICERÍA;MAGISTER;"ASISTENTE DOCENTE";VICEDECANA;Académico
11682760;Amycus;Carrow;;amycus.carrow@yeeha.com;amycus.carrow@lamejor.com;;;diurno;vespertino;;;;;;
24496460;Parvati;Patil;678901242;parvati.patil.pardo@yeeha.com;parvati.patil.pardo@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"ASOCIADO DOCENTE";;
19690944;Lavender;Brown;;lavender.brown@torralbo.com;lavender.brown@lamejor;;;;;;;;;;
19465195;Theodore;Nott;678901245;theodore.nott.plaza@gmall.com;theodore.nott.plaza@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;LICENCIATURA;"INSTRUCTOR DOCENTE";;
19525663;Susan;Bones;345678912;susan.bones@poncedeleon.com;susan.bones@@lamejor;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
13567862;Dean;Thomas;456789015;dean.thomas.basaez@yeeha.com;dean.thomas.basaez@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"INSTRUCTOR DOCENTE";;
19028250;Kingsley;Shacklebolt;;kingsley.shacklebolt.perez@gmall.com;kingsley.shacklebolt.perez@lamejor.com;;;;;;;;;;
20537459;Alastor;Moody;678901234;alastor.moody.munita@coldmail.com;alastor.moody.munita@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"INSTRUCTOR DOCENTE";"Profesor por Jornada";
24441914;Gregory;Goyle;;gregory.goyle.brochet@yeeha.com;gregory.goyle.brochet@lamejor.com;;;;;;;;;;
20811745;Wilhelminan.;Grubbly-Plank;345678913;wilhelmina.grubblyplank@gmall.com;wilhelmina.grubblyplank@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
6012;DESIGNAR;POR;;;;;;;;;;DOCTORA;"INSTRUCTOR DOCENTE";"Profesor por Jornada";
23116742;Dolores;Umbridge;789012348;dolores.umbridge.baquerizo@coldmail.com;dolores.umbridge.baquerizo@lamejor.com;;HONORARIO;diurno;;;;LICENCIATURA;"INSTRUCTOR DOCENTE";;
20364718;Rolanda;Hooch;890123465;rolanda.hooch@coldmail.com;rolanda.hooch@lamejor.com;;"FULL TIME";;;HOGWARTS;MAGIA;;"ASOCIADO DOCENTE";"Director(a) Carrera (i)";
17754798;Draco;Malfoy;901234570;draco.malfoy.yanez@gmall.com;draco.malfoy.yanez@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"ASOCIADA DOCENTE";;
22671518;"Mike ";Newell;;;;;;;;;;;;;
10693674;Percy;Weasley;789012353;percy.weasley.silva@coldmail.com;percy.weasley.silva@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;LICENCIATURA;"TITULAR DOCENTE";;
9017415;Albus;Dumbledore;890123456;albus.dumbledore@coldmail.com;albus.dumbledore@lamejor.com;;"FULL TIME";diurno;;;;DOCTOR;"ASISTENTE DOCENTE";"Director(a) Carrera";
12949268;Molly;Weasley;890123463;molly.weasley.robles@gmall.com;molly.weasley.robles@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;BACHILLER;"ASOCIADO REGULAR";"Secretario(a) Estudios";
19609585;Anthony;Goldstein;567890124;anthony.goldstein.contreras@gmall.com;anthony.goldstein.contreras@lamejor.com;;HONORARIO;diurno;;;;"MAGISTER ";"ASOCIADA DOCENTE";;
16462378;Cho;Chang;;cho.chang.gallo@coldmail.com;cho.chang.gallo@lamejor.com;;;;;;;;;;
23184735;Severus;Snape;890123466;severus.snape@yeeha.com;severus.snape@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";"Director (a) Formación Cont. y Postgra";
19406721;Sybill;Trelawney;456789023;sybill.trelawney@gmall.com;sybill.trelawney@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
24719317;Lucius;Malfoy;345678908;lucius.malfoy.aguilera@yeeha.com;lucius.malfoy.aguilera@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
23156352;Oliver;Wood;345678909;oliver.wood.fuentes@gmall.com;oliver.wood.fuentes@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Profesor por Jornada";
13645935;Horace;Slughorn;;horace.slughorn@gmall.com;horace.slughorn@lamejor.com;;;;;;;;;;
21982013;Rowena;" Ravenclaw";234567900;rowena.ravenclaw.vargas@gmall.com;rowena.ravenclaw.vargas@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASISTENTE DOCENTE";;
22125739;Ron;Weasley;901234576;ron.weasley.irarrazabal@gmall.com;ron.weasley.irarrazabal@lamejor.com;;"FULL TIME";diurno;;HOGWARTS;MAGIA;;"INSTRUCTOR DOCENTE";"Director Clínica ";academico
25090138;Lily;Potter;234567897;lily.potter.aspillaga@coldmail.com;lily.potter.aspillaga@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";Profesor;
16563364;Zacharias;Smith;567890135;zacharias.smith@yeeha.com;zacharias.smith@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";;
9734595;Alicia;Spinnet;;alicia.spinnet.bascunan@gmall.com;alicia.spinnet.bascunan@lamejor.com;;;;;;;;;;
18231420;"David ";Yates;345678910;;;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;"INSTRUCTOR DOCENTE";;
14793687;George;Weasley;;george.weasley.valdivia@yeeha.com;george.weasley.valdivia@lamejor.com;;;;;;;;;;
17333138;Aurora;Sinistra;;aurora.sinistra@coldmail.com;aurora.sinistra@lamejor.com;;;;;;;;;;
15358632;Fred;Weasley;;fred.weasley.marti@gmall.com;fred.weasley.marti@lamejor.com;;;;;;;;;;
22630533;Alecto;Carrow;901234567;alecto.carrow@gmall.com;alecto.carrow@lamejor.com;;HONORARIO;diurno;;;;LICENCIATURA;"ASISTENTE DOCENTE";;
20454143;Cedric;Diggory;456789014;cedric.diggory.diaz@yeeha.com;cedric.diggory.diaz@lamejor.com;;HONORARIO;diurno;;;;MAGISTER;"INSTRUCTOR DOCENTE";;
13185805;"Godric ";Gryffindor;;godric.gryffindor.stippel@yeeha.com;godric.gryffindor.stippel@lamejor.com;;;;;;;;;;
16185180;Michael;Corner;678901241;michael.corner.vargas@yeeha.com;michael.corner.vargas@lamejor.com;;"FULL TIME";diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";"Director(a) Carrera";
10300778;Rubeus;Hagrid;345678911;rubeus.hagrid@yeeha.com;rubeus.hagrid@lamejor.com;;HONORARIO;diurno;vespertino;HOGWARTS;MAGIA;MAGISTER;"TITULAR DOCENTE";;
11822639;"Salazar ";Slytherin;567890133;salazar.slytherin.avila@yeeha.com;salazar.slytherin.avila@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;"ASOCIADO DOCENTE";;
16386516;Bathsheda;Babbling;;bathsheda.babbling@gmall.com;bathsheda.babbling@lamejor.com;;;;;;;;;;
22219383;"Chris ";Columbus;;;;;;;;;;;;;
24120738;Narcissa;Malfoy;;narcissa.malfoy.ramirez@coldmail.com;narcissa.malfoy.ramirez@lamejor.com;;;;;;;;;;
